kind,code,name,district_code,latitude,longitude
village,GRB-SHA-001,بازار شیخ‌علی,GRB-SHA,34.896136,68.453977
village,GRB-SHA-002,ترکمن,GRB-SHA,34.812057,68.353380
village,GRB-SHA-003,آرال,GRB-SHA,,
village,GRB-SHA-004,ایاسی,GRB-SHA,,
village,GRB-SHA-005,بابر,GRB-SHA,34.961942,68.597052
village,GRB-SHA-006,باریکی,GRB-SHA,,
village,GRB-SHA-007,بارخانه,GRB-SHA,,
village,GRB-SHA-008,بیک‌مرده,GRB-SHA,,
village,GRB-SHA-009,بید,GRB-SHA,,
village,GRB-SHA-010,جرف,GRB-SHA,,
village,GRB-SHA-011,کاجک,GRB-SHA,,
village,GRB-SHA-012,جوکول,GRB-SHA,,
village,GRB-SHA-013,نرخ,GRB-SHA,,
village,GRB-SHA-014,ناوی,GRB-SHA,,
village,GRB-SHA-015,قرلق,GRB-SHA,,
village,GRB-SHA-016,کرم‌علی,GRB-SHA,,
village,GRB-SHA-017,شکریانی,GRB-SHA,,
village,GRB-SHA-018,توریج,GRB-SHA,,
village,GRB-SHA-019,اوخنه,GRB-SHA,,
village,GRB-SHA-020,سرخاب,GRB-SHA,,
village,GRB-SHA-021,بلاغ,GRB-SHA,,
village,GRB-SHA-022,بنگ‌تور,GRB-SHA,,
village,GRB-SHA-023,خارزار,GRB-SHA,,
village,GRB-SHA-024,پاواز,GRB-SHA,,
village,GRB-SHA-025,بوقولی,GRB-SHA,,
village,GRB-SHA-026,قول شادی,GRB-SHA,,
village,GRB-SHA-027,قومغی,GRB-SHA,,
village,GRB-SHA-028,ای,GRB-SHA,,
village,GRB-SHW-001,پل متک,GRB-SHW,35.078761,69.195407
village,GRB-SHW-002,ده نو,GRB-SHW,35.009282,68.932264
village,GRB-SHW-003,عبدالکریم‌خیل,GRB-SHW,35.060562,69.071789
village,GRB-SHW-004,عبدالرحمن‌خیل,GRB-SHW,35.039764,69.023038
village,GRB-SHW-005,احمدخیل,GRB-SHW,35.043685,69.029036
village,GRB-SHW-006,محمدخیل,GRB-SHW,35.020647,68.966389
village,GRB-SHW-007,حسن‌خیل,GRB-SHW,35.098271,69.164434
village,GRB-SHW-008,ملک‌خیل,GRB-SHW,35.037665,68.873813
village,GRB-SHW-009,آب‌گرد,GRB-SHW,35.014461,68.947163
village,GRB-SHW-010,آب‌خانه اشترشهر,GRB-SHW,34.996744,68.891888
village,GRB-SHW-011,اشترشهر افغانیه,GRB-SHW,34.999839,68.905399
village,GRB-SHW-012,آهنگران,GRB-SHW,,
village,GRB-SHW-013,باغ افغان,GRB-SHW,35.072926,69.107152
village,GRB-SHW-014,باغچه,GRB-SHW,,
village,GRB-SHW-015,بیدقول,GRB-SHW,,
village,GRB-SHW-016,برج گل‌جان,GRB-SHW,35.045385,69.046040
village,GRB-SHW-017,باریکی,GRB-SHW,,
village,GRB-SHW-018,چناره,GRB-SHW,,
village,GRB-SHW-019,چناردره,GRB-SHW,,
village,GRB-SHW-020,چپ‌قول,GRB-SHW,,
village,GRB-SHW-021,چشمه‌باغ,GRB-SHW,,
village,GRB-SHW-022,دهن چمار,GRB-SHW,,
